"label","text","text_clean","text_token","label_num"
"anger","Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]","betul min rakyat indonesia sekarang harapan nya tinggal sama tni saja kalau yang lain lihat saja sudah jelas penyerangan ke kantor media katanya tidak ada unsur pidananya sudah jelas menghina presiden indonesia yang sah cuma lucu lucu an saja","min  rakyat  indonesia  harap  tinggal  tni  serang  kantor  media  unsur  pidana  hina  presiden  indonesia  sah  lucu  lucu  an",0
"anger","Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dsb kan. Kpopers baru ya? Fansite udh ada dr jaman kamera belom sebening skrg!","kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga membelikan mereka hadiah dsb kan kpopers baru ya tandatanya fansite sudah ada dari jaman kamera belum sebening sekarang tandaseru","fansite  ngejual  hasil  jepret  uang  lari  idol  belikan  hadiah  dsb  kpopers  tandatanya  fansite  jam  kamera  bening  tandaseru",0
"happy","sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h","sangat bersyukur bisa mendoakan kakeknya bung karno bersama anak anak yatim piatu h","syukur  doa  kakek  karno  anak  anak  yatim  piatu",3
"sadness","Sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar.","sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orang dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar","sulit  terima  anggap  interaksi  golong  atak  golong  ajar  utuh  klaim",2
"anger","samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!","samanye sudah maling semua enggak sih jancok enggak sih anjing enggak sih siluman monyet hahahahaha satu hati sama sama maling tandaseru","samanye  maling  jancok  anjing  siluman  monyet  hahahahaha  hati  maling  tandaseru",0
"anger","Ku juga pengen ngamuk bacain komen2 netizen yg mahabenar. Ya Lord. Ga abis pikir. Komen2 macem gini yg bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yg komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]","ku juga pengin ngamuk bacain komen netizen yang mahabenar ya lord enggak habis pikir komen macam begini yang bikin kasus pelecehan seksual akan tenggelam begitu saja tidak ada hukuman untuk pelaku lebih sedihnya rerata yang komen jahat adalah perempuan mbaq kesehatanmu loh tandaseru","ku  pengin  ngamuk  bacain  komen  netizen  mahabenar  lord  habis  pikir  komen  bikin  leceh  seksual  tenggelam  hukum  sedih  rerata  komen  jahat  perempuan  mbaq  sehat  loh  tandaseru",0
"love","Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat","setiap kesempatan yang pernah hadir untuk dapat membuatmu selalu merasa aman dan nyaman kini jadi suatu kehormatan yang pernah didapat","hadir  aman  nyaman  hormat",4
"anger","Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*","sedap kali kau ya bobok dikasur ku aku tidur kau ikut tidur mau jadi apa kau bacanya pakai logat mamak dahlia di keluarga badak","sedap  kau  bobok  kasur  ku  tidur  kau  tidur  kau  baca  pakai  logat  mamak  dahlia  keluarga  badak",0
"happy","H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe ga keliatan mbak2nya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia ","h mau ke bank rame banget sampai antrian tempat duduknya ada diluar toko emas meluber sampai enggak kelihatan mbaknya yang jualan ke swalayan antrian kasir naudzubilah panjang benar pada bahagia semua kayaknya semoga oh semoga rs sepi pasien pada sembuh dan pulang untuk berbahagia","bank  rame  banget  antri  duduk  toko  emas  luber  mbak  jual  swalayan  antri  kasir  naudzubilah  bahagia  kayak  moga  oh  moga  rs  sepi  pasien  sembuh  pulang  bahagia",3
"anger","Benar2 hancur negara ini dikelola amatiran, tp kenpak [USERNAME] tidak mengindahkan statementnya sendiri? Negara miskin koordinasi, jangan asal gagah2an .. setalah salah dianulir mana marwahmu wahai mr. [USERNAME] presiden? [URL]","benar hancur negara ini dikelola amatiran tapi kenpak tidak mengindahkan statementnya sendiri tandatanya negara miskin koordinasi jangan asal gagahan setalah salah dianulir mana marwahmu wahai mr presiden tandatanya","hancur  negara  kelola  amatir  kenpak  indah  statementnya  tandatanya  negara  miskin  koordinasi  gagah  seta  salah  anulir  marwahmu  mr  presiden  tandatanya",0
"anger","Budayakan mencari dan membaca sebelum nanya ya. Udah dijelaskan berkali2 kok. Selama ga diatur/gaada ketentuan khusus, pakai aja","budayakan mencari dan membaca sebelum tanya ya sudah dijelaskan berkali kok selama enggak diatur enggak ada ketentuan khusus pakai saja","budaya  cari  baca  atur  pakai",0
"sadness","Separuh hati ini iri jika melihat seorang anak yg masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yg begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yg terbaik untuk kita semua.","separuh hati ini iri jika melihat seorang anak yang masih bisa duduk atau berjalan bersama ibundanya dan separuh hati ini turut berempati melihat seorang anak yang begitu gundah saat ibundanya sakit yang sabar ya kawan semoga allah memberikan yang terbaik untuk kita semua","paruh  hati  iri  anak  duduk  jalan  ibunda  paruh  hati  empati  anak  gundah  ibunda  sakit  sabar  kawan  moga  allah  berik",2
"happy","Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku","ketika aku tersenyum bukan berarti hidupku sempurna aku hanya mensyukuri apa yang aku punya dan apa yang telah tuhan berikan untuk ku","senyum  hidup  sempurna  syukur  tuhan  berik  ku",3
"sadness","dari mau tdr, tidur, sampe bgn tdr kok yaa kayak ngerasa aneh.. ga enak hati. udah dibawa istighfar masih aja. bgn tdr kayak sedih, kayak mikir ga puguh. ini knp bgt coba :(","dari mau tidur tidur sampai bgn tidur kok ya kayak merasa aneh enggak enak hati sudah dibawa istighfar masih saja bgn tidur kayak sedih kayak mikir enggak puguh ini kenapa banget coba frown","tidur  tidur  bgn  tidur  kayak  aneh  hati  bawa  istighfar  bgn  tidur  kayak  sedih  kayak  mikir  puguh  banget  coba  frown",2
"love","kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months","kan kupeluk engkau erat hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary sayang","kupeluk  engkau  erat  rebut  mu  peluk  ku  happy  anniversary  sayang",4
"anger","Kalo mau ganti presiden itu harus jelas siapa calonnya. Terus diadu program kerjanya. Ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar","kalo mau ganti presiden itu harus jelas siapa calonnya terus diadu program kerjanya ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar","kalo  ganti  presiden  calon  adu  program  koalisi  ditentuin  cuman  kaos  tagar",0
"happy","Sukses n keren banget dgn no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan","sukses n keren banget dengan no kualitas bahan krja itu cita punya agar warisan sampai ke cu sukses tims bbpjn barokah terlimpahkan","sukses  keren  banget  no  kualitas  bahan  krja  cita  waris  cu  sukses  tims  bbpjn  barokah  limpah",3
"anger","Udah mau sarjana 2 kali, mbokya mulut nya jangan ketinggalan buat belajar. Sekiranya itu ga perlu diungkapkan, nambah dosa + nyakitin hati orangnya mending diem2 bae lah. Kasian anda nya yg di julidin sm orang.","sudah mau sarjana kali mbokya mulut nya jangan ketinggalan buat belajar sekiranya itu enggak perlu diungkapkan bertambah dosa + menyakiti hati orangnya mending diam bae lah kasihan anda nya yang di julidin sama orang","sarjana  mbokya  mulut  tinggal  ajar  sekira  dosa  sakit  hati  mending  diam  bae  kasihan  julidin",0
"anger","Gimana orang ga nilai dr jilbab/syari/nggak nya. Kadang gemez sm orang yg dikelas diem2 bae eh di grup WA bisanya dia nyeletuk mengarah ke social harassment.","bagaimana orang enggak nilai dari jilbab syari enggak nya kadang gemas sama orang yang dikelas diam bae eh di grup wa bisanya dia nyeletuk mengarah ke social harassment","nilai  jilbab  syar  kadang  gemas  kelas  diam  bae  eh  grup  wa  nyeletuk  arah  social  harassment",0
"fear","Hari ini jadwal presentasi proker di LPPM karna ada praktikum jadinya pak ketua di temani sekretaris 1. Tapi selaku penanggung jawab ada di sekretaris 2 jadi deg deg an ini. Bismillah pak ketua (Btw pen Upload foto pak ketua tapi jangan dulu yaa) ","hari ini jadwal presentasi proker di lppm karena ada praktikum jadinya pak ketua di temani sekretaris tapi selaku penanggung jawab ada di sekretaris jadi deg deg an ini bismillah pak ketua btw pengin upload foto pak ketua tapi jangan dulu ya","jadwal  presentasi  proker  lppm  praktikum  ketua  teman  sekretaris  tanggung  sekretaris  deg  deg  an  bismillah  ketua  btw  pengin  upload  foto  ketua",1
"anger","Foto saya di instagram masih ada cuma lupa password instanya jadi ngga bisa di buka !! ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala !! Tuh sampai lupa khan gw #begoloe ","foto saya di instagram masih ada cuma lupa password instanya jadi enggak bisa di buka tandaseru ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala tandaseru tuh sampai lupa kan gue","foto  instagram  lupa  password  instanya  buka  tandaseru  salah  pemerintah  instagram  pakai  password  tandaseru  tuh  lupa  gue",0
"fear","Drama kmarin sore : seharian puasa trus pas lg mandi kaget bcz kedatangan tamu tak diundang pas bgt woi pas lagi adzan maghrib trus jd galau dong seharian itu dianggap sah puasa apa enggak-_-","drama kemarin sore seharian puasa terus pas lagi mandi kaget bcz kedatangan tamu tak diundang pas banget woi pas lagi adzan maghrib terus jadi galau dong seharian itu dianggap sah puasa apa enggak","drama  kemarin  sore  puasa  pas  mandi  kaget  bcz  tamu  undang  pas  banget  woi  pas  adzan  maghrib  galau  anggap  sah  puasa",1
"sadness","Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tp sukses melupakan laper. [URL]","sungguh mencintaimu berat sekali berpisah denganmu apalagi selalu bikin bawa perasaan tapi sukses melupakan laper","sungguh  cinta  berat  sekal  pisah  bikin  bawa  asa  sukses  lupa  laper",2
"anger","4. pas uda dikirim kembali, si kurir telp ngeluh dan mager buat nganter ke alamat yg bener. malah minta ketemuan di titik yg dia tau itupun dia gamau susah (no puter balik, hrs searah sama arah kendaraan dia jalan)","pas sudah dikirim kembali sih kurir telp ngeluh dan mager buat nganter ke alamat yang benar malah meminta ketemuan di titik yang dia tau itupun dia enggak mau susah no puter balik harus searah sama arah kendaraan dia jalan","pas  kirim  kurir  telp  ngeluh  mager  nganter  alamat  ketemu  titik  tau  susah  no  puter  arah  arah  kendara  jalan",0
"happy","Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan.","pada akhirnya kita akan melewati semua ini semua yang dulu kita bayangkan betapa sulitnya kita lalui juga di akhir kita hanya bisa belajar belajar dan belajar memetik semua hikmah yang bisa kita petik mempersiapkan untuk kedepan","bayang  betapa  sulit  ajar  ajar  ajar  petik  hikmah  petik",3
"love","Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya ","kenapa pasangan seringkali diibaratkan sebagai rumah tandatanya karena rasa nyaman bersamanya senyaman berada di rumah kamu bisa jadi apa saja kamu selalu pulang menujunya","pasang  seringkali  rumah  tandatanya  nyaman  nyaman  rumah  pulang",4
"fear","Ya tau kalo rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata","ya tau kalo rasa sakit hati memamg sulit tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata","tau  kalo  sakit  hati  memamg  sulit  jenjang  rumah  tangga  publik  situasi  media  jahat  selesa  lontar",1
"happy","Ponakan kls 4 SD: lg demen nonton video tutorial masak + craft @ YouTube. gw kls 4 SD: udah baca novel2 Marga T. &amp Mira W. minjem punya sepupu","ponakan kls sih tongue sticking out lagi demen menonton video tutorial masak + craft youtube gue kls sih tongue sticking out sudah baca novel marga t amp mira gue minjem punya sepupu","ponakan  kls  tongue  sticking  out  demen  tonton  video  tutorial  masak  craft  youtube  gue  kls  tongue  sticking  out  baca  novel  marga  amp  mira  gue  minjem  pupu",3
"happy","Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.","bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat sampailah suaminya itu dpet pangkat yang tinggi kurang paham juga tentang pangkatan di tni pokoknya sudah hidup bekecukupan","bberapa  tahun  sejahtera  keluarga  makmak  teus  tingkat  suami  dpet  pangkat  tinggi  paham  pangkat  tni  pokok  hidup  bekecukupan",3
"sadness","Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu.","bukan tidak mendukung atau mendoakan cuma menyikapi apa yang sudah itu pilihanmu dan berupayalah mempertahankannya disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar seperti saat kala itu menerima undangan pernikahanmu","dukung  doa  sikap  pilih  upaya  tah  bahagia  sedih  kebahagianku  pudar  terima  undang  nikah",2
"happy","JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.","jne jnt selama saya pakai entah kirim paket beli olshop jastip dari luar kota sampai beda pulau maksimal hari sampai mau itu dia pakai mobil susah cari alamat bingung enggak bisa masuk kompleks gang meski malam sekalipun dibelain jalan ke rumah sampai paketan terkirim dengan baik","jne  jnt  pakai  kirim  paket  beli  olshop  jastip  kota  beda  pulau  maksimal  pakai  mobil  susah  cari  alamat  bingung  kompleks  gang  malam  dibelain  jalan  rumah  paket  kirim",3
"anger","Gemes bgt sama orang yg masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun, itu tetap tidak dibenarkan!","gemas banget sama orang yang masih menganggap wajar pelecehan sexual secara verbal mau verbal atau fisik atau apapun itu tetap tidak dibenarkan tandaseru","gemas  banget  anggap  wajar  leceh  sexual  verbal  verbal  fisik  tandaseru",0
"fear","Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yg terjadi antara penanya dan seorang ustad disebuah acara tv yg intronya pake musik. ","apa hukumnya bermain musik stad tandatanya jelas haroooom hukumnya tandaseru berdosa kita memainkannya tandaseru begitulah kira kira percakapan yang terjadi antara penanya dan seorang ustad disebuah acara tv yang intronya pakai musik","hukum  main  musik  stad  tandatanya  haroooom  hukum  tandaseru  dosa  main  tandaseru  cakap  pena  ustad  disebuah  acara  tv  intro  pakai  musik",1
"anger","Apa Hebatnya Mardani? Menurut sy oeang ini Cuma besar mulut aja Faktanya sampai saat ini blm menyebutkan Capres Lagipula kalau Koalisinya Hanya PKS dan GERINDRA nggak mungkin lah yaow","apa hebatnya mardani tandatanya menurut saya oeang ini cuma besar mulut saja faktanya sampai saat ini belum menyebutkan capres lagipula kalau koalisinya hanya pks dan gerindra enggak mungkin lah yaow","hebat  mardani  tandatanya  oeang  mulut  fakta  capres  lagipula  koalisi  pks  gerindra  yaow",0
"sadness","Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tpi gak tahu tahun berapa2 nya. Lanjut yg tadi, baru aja setahun di kasih kenikmatan datang lgi ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent","oh iya ibu nya melahirkan anak ke yaitu cewek tapi enggak tahu tahun berapa nya lanjut yang tadi baru saja setahun di kasih kenikmatan datang lagi ujian buat sih makmak kali ini mungkin berat dia di tinggal suaminya meninggal seketika ibu itu jadi singel parent","oh  iya  lahir  anak  cewek  tahun  tahun  kasih  nikmat  uji  makmak  berat  tinggal  suami  tinggal  singel  parent",2
"happy","Z suka twitter soalny perempuan ji semua temanku dsni Biar mengomel sampe tablengker ndada bahayanya... bahas 'monsteration' jg bebas.. bahas nda puasa jg bebas~~~~~ Di wa mo update status streskan 'monsteration' kt harus pi dl blok semua cowo baru mengupdate ","saja suka twitter soalny perempuan ji semua temanku disini biar mengomel sampai tablengker ndada bahayanya bahas monsteration juga bebas bahas indak puasa juga bebas~~~~~ di wa mau update status streskan monsteration kita harus tapi dulu blok semua cowok baru mengupdate","suka  twitter  soalny  perempuan  ji  teman  biar  omel  tablengker  ndada  bahaya  bahas  monsteration  bebas  bahas  indak  puasa  bebas  wa  update  status  stres  monsteration  blok  cowok  mengupdate",3
"anger","Nggak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini. Dia itu korban loh. Sesusah itukah untuk saling support satu sama lain gurlzz?","enggak mengerti lagi sama ciwi ciwi yang nyinyir via vallen ini dia itu korban loh sesusah itukah untuk saling support satu sama lain gurlzz tandatanya","erti  ciwi  ciwi  nyinyir  via  vallen  korban  loh  susah  support  gurlzz  tandatanya",0
"anger","hari ini libur, rencananya mau nonton Jurassic World, tapi kayanya gajadi deh mengingat kondisi yg gak fit bgt ini sebel. Rusak rencana sebelanga.. sebel akutu","hari ini libur rencananya mau menonton jurassic world tapi kayanya gajadi deh mengingat kondisi yang enggak fit banget ini sebel rusak rencana sebelanga sebel akutu","libur  rencana  tonton  jurassic  world  kaya  gajadi  deh  kondisi  fit  banget  sebel  rusak  rencana  belanga  sebel  akutu",0
"anger","Nah ini, yg nunggu anak anteng dengan kesabaran seluas samudra trus bapaknya dateng2 bikin anak nangis. Hmmm kuingin marah melampiaskan","nah ini yang menunggu anak anteng dengan kesabaran seluas samudra terus bapaknya datang bikin anak menangis hmmm kuingin marah melampiaskan","tunggu  anak  anteng  sabar  luas  samudra  bikin  anak  tangis  hmmm  kuingin  marah  lampias",0
"love","Ku rindu bisik mu di telingaku Seraya kau berkata ""semoga kelak kau menjadi anak yg berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu"".","ku rindu bisik mu di telingaku seraya kau berkata semoga kelak kau menjadi anak yang berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu","ku  rindu  bisik  mu  telinga  seraya  kau  moga  kelak  kau  anak  moga  kau  sayang  tua  mu",4
"anger","ini hasil sekolah asal sekolah ... mikirlah Mahkamah Internasional itu punya kewenangan mengadili perkara genosida dsbnya ...","ini hasil sekolah asal sekolah mikirlah mahkamah internasional itu punya kewenangan mengadili perkara genosida dsbnya","hasil  sekolah  sekolah  mikirlah  mahkamah  internasional  wenang  adil  perkara  genosida  dsbnya",0
"anger","Lah elu yang harusnya ditanya teh, kenapa bisa berasumsi guw mah kacang tanpa kulit, maksudnya apa hayo? Ke sana juga kan maksud loooo","lah lu yang harusnya ditanya teh kenapa bisa berasumsi gue mah kacang tanpa kulit maksudnya apa hayo tandatanya ke sana juga kan maksud loooo","lu  teh  asumsi  gue  mah  kacang  kulit  hayo  tandatanya  loooo",0
"anger","web permata krg profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?","web permata krg profesional ada program cashback ribu token pln waktu di klik info masuknya ke program paket kuota data piye iki tandatanya","web  permata  krg  profesional  program  cashback  ribu  token  pln  waktu  klik  info  program  paket  kuota  data  piye  iki  tandatanya",0
"fear","Nah.... Yg saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yg bahaya, soale masyarakat kita sedang sensitif dgn hal tersebut.","nah yang saya takutkan itu mas nanti di tumpangi politik dibalut agama itu yang bahaya soale masyarakat kita sedang sensitif dengan hal tersebut","takut  mas  tumpang  politik  balut  agama  bahaya  soale  masyarakat  sensitif",1
"sadness","mau cerita kesiapa kalau udah kayak begini? hancur hidup ini pikirin dong gimana hati ku aku sedih, aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw","mau cerita kesiapa kalau sudah kayak begini tandatanya hancur hidup ini pikirin dong bagaimana hati ku aku sedih aku menangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw","cerita  kayak  tandatanya  hancur  hidup  pikirin  hati  ku  sedih  tangis  tetes  air  kayak  lirik  lagu  sayang  pia  palen  deh  wkwkw",2
"sadness","Setelah 20hari puasa dan saur gak pernah kesiangan, akhirnya di hari ke21 ngerasain makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam","setelah hari puasa dan saur enggak pernah kesiangan akhirnya di hari ke merasai makan saur supeerrr dupeerr ekspress menit sebelum imsak baru bangun yassalaaam","puasa  saur  siang  rasai  makan  saur  supeerrr  dupeerr  ekspress  menit  imsak  bangun  yassalaaam",2
